Year	terrorism	terrorist	occupation	narcotic	violation	democracy	development
2000	0		0		0		0		0		0		0
2001	1		2		0		3		0		0		0
2002	5		3		1		2		3		5		14
2003	5		4		1		2		3		7		16
2004	2		5		0		7		2		7		11
2005	85		84		31		9		74		78		92
2006	17		308		75		37		0		7		82
2007	2		3		3		0		3		113		177
2008	2		3		3		1		3		21		40
2009	70		40		374		149		19		98		277
2010	210		264		76		592		978		1264		1545
2011	249		375		21		322		172		539		3938
2012	203		222		60		944		107		290		1632
2013	476		1007		42		999		234		600		3574
2014	203		1147		76		1110		377		1225		4347
2015	232		99		200		64		57		53		207
